Q1,Q2_1,Q3,Q4_1,Q4_2,Q4_3,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8
Malaysia,26,4,4,4,4,3,2,2,2,2,2,4,5,4,5,4,4,4,3,5,4,4,4,5,3
Malaysia,18,1,1,2,4,1,2,2,3,4,5,4,4,5,4,3,4,4,5,4,5,4,5,2,4
Italy,23,2,4,2,3,3,1,2,1,1,4,4,4,4,2,3,3,2,2,2,1,2,1,1,1
Ireland,25,3,2,2,2,2,2,4,4,3,5,4,4,5,5,4,3,4,3,4,4,3,4,2,3
The Netherlands,24,2,5,5,5,4,2,2,2,3,4,5,3,3,5,4,4,5,5,5,5,4,5,3,4
Italy,22,1,5,4,5,4,3,4,4,3,5,5,5,5,1,1,3,2,2,4,3,2,4,4,1
India/UAE,27,3,4,3,4,3,1,1,3,1,3,4,3,4,5,2,4,4,4,4,3,2,4,4,4
Spain,21,2,1,1,2,2,2,2,3,2,4,4,3,3,5,2,3,4,5,4,3,2,5,2,2
France,21,2,2,3,1,2,1,1,1,1,5,5,5,5,4,3,4,5,5,5,5,4,5,5,5
The Netherlands,22,2,5,4,5,4,1,3,4,3,4,4,5,4,2,2,3,4,5,4,4,5,5,4,4